#    x=me*R    fnu_mu/feq
0.05423848937326109    1.0000897063646326
0.06871025696301417    1.0003037266335517
0.08258672219727857    1.0005504763275983
0.10137456853193583    1.0008752453627048
0.1260823052053323    1.0015295715051313
0.15274485729579865    1.0022434615938378
0.18927530109381255    1.0033950634703526
0.22726161888967292    1.0047854409329782
0.26453997083032427    1.0059723777985747
0.31760756924976735    1.0077788162485017
0.3805103763539067    1.0098835258818437
0.4533680796738503    1.0113470544477239
0.5535886731573567    1.0134365779068248
0.659817453891704    1.015060676697142
0.7997688951111785    1.0167053007942792
0.9663527777874547    1.0181486451877497
1.1676344214508534    1.0193537868643967
1.3887704918066013    1.0203331151846737
1.6517871034636407    1.0211513567755883
1.9646159327734032    1.0218067979485301
2.336690821240614    1.0224108284631646
2.7792322677349954    1.0228520585598262
3.3055858001438367    1.023216172669027
3.9316244305905808    1.0234860339046647
4.676227330884618    1.023653073823688
5.561849163407389    1.0237515661983014
6.615197236496106    1.0238157848007103
7.868036905002335    1.0238114558587095
9.358149504136131    1.0238071269167086
11.130471704585544    1.023802797974708
13.238450647943106    1.023798469032707
15.745655728662681    1.0237941400907062
18.7276956283467    1.0237898111487054
22.274498413524288    1.0237854822067045
26.493023456826485    1.0237811532647039
29.584532996845184    1.0237783984834306
