#    x=me*R    fnu_mu/feq
0.056640848547883045    1.0001622061482822
0.06571539210284844    1.0004768535262207
0.08035430965600505    1.0007191320072333
0.09641432087936563    1.00104321880651
0.11640013208573596    1.0014719258589513
0.1395178422623445    1.0021444846292948
0.16854921592551309    1.003029430379747
0.2016266049889855    1.004067766726944
0.452782200928942    1.010697879335854
0.5387227961535277    1.0121395364129542
0.6409521588681406    1.0134782179845472
0.7625370427292472    1.0146538550057538
0.9215648109439009    1.01575226039783
1.0927805768921717    1.0165357323688968
1.3246995579088972    1.0173150090415912
1.600690590476192    1.0179233273056059
1.9340660249501036    1.018360973204011
2.2842203321724757    1.0186994575045207
2.719634602755392    1.0189734629294755
3.263869441230209    1.0191882097649185
3.8423854202685606    1.0193287522603978
4.574542125342171    1.0194336347197106
5.446647855132714    1.019518589511754
6.507868001750148    1.0195280289330921
7.775829519529904    1.0195280289330921
9.217942980910262    1.0195280289330921
10.944739922214149    1.0195280289330921
13.061147399228112    1.0195280289330921
15.405087221118745    1.0195280289330921
18.406539888746032    1.0195280289330921
21.820235994650343    1.0195280289330921
26.44385164513427    1.0195280289330921
