#x	Curve1
0.116591	0.000277778
0.16681	0.000555556
0.226754	0.00106481
0.292864	0.00162037
0.359381	0.00231481
0.464159	0.00319444
0.569581	0.00412037
0.681292	0.00490741
0.836031	0.00564815
0.97474	0.0062963
1.19613	0.00699074
1.4678	0.00759259
1.89574	0.00819444
2.38659	0.00856481
3.0824	0.00893519
4.29866	0.00916667
5.14175	0.00930556
6.98947	0.00939815
10.525	0.00944444
14.3072	0.00949074
