#x	Curve1
0.647308	1.00231
0.735642	1.00231
0.97474	1.00463
1.32502	1.01157
1.71133	1.01852
2.38659	1.03009
3.0824	1.0463
3.68695	1.06481
4.64159	1.09259
5.55194	1.12037
6.81292	1.16204
8.14913	1.19907
9.7474	1.23843
11.6591	1.28472
13.5936	1.31481
15.0584	1.33796
16.681	1.3588
19.9526	1.37963
22.6754	1.3912
29.2864	1.39583
35.0303	1.40046
42.9866	1.39815
54.117	1.40046
