#    x    delta_rho/rho
0.1133062781791048    0.0002903487739009114
0.13865128512015604    0.00042567953761227153
0.16959863003783252    0.0006313189083553584
0.20737302010616931    0.0009060546687675542
0.24662885466956255    0.0011964849482409869
0.28272329857768264    0.0014762225835878318
0.3211006947006227    0.001771567728666051
0.3613366850366538    0.0020705353058607327
0.40290286869324454    0.002362330808180964
0.4492113490026636    0.002669683099988102
0.5008111365300554    0.0029881473842858844
0.5583380629838862    0.0033066116685836677
0.622472964032998    0.00362507595288145
0.6939748812418122    0.0039435402371792334
0.7736900453865453    0.004262004521477016
0.8626910902612194    0.004553800023797247
0.9619903572685656    0.0048344835336268325
1.0825918673096064    0.005123926545829532
1.2295712460655905    0.005415461864910959
1.4095337429218517    0.005693532701384207
1.6457967790473202    0.005980232948611166
1.9755532120100008    0.006262098123983659
2.4157125438462637    0.006525923928132313
2.95482570530427    0.0067364121683258634
3.615187563998492    0.006900836148740008
4.424215152947094    0.007021620304099977
5.415397525905233    0.007106037938581467
6.62954279019034    0.007166211225810638
8.117228528345748    0.007197291296337026
9.939566588164505    0.007213824758512022
12.171521253643226    0.007223084916511323
14.905681677806305    0.0072202229008844635
18.254032643091925    0.007217360885257604
22.35454338403023    0.007214498869630746
27.376175975975716    0.007211636854003885
33.52584743927224    0.007208774838377027
41.056955781834574    0.0072059128227501676
46.27973567068233    0.007204221631697932
