#    a   delta_rho/rho_eq
0.10597914845556475    0.000011433028975895397
0.1250450427028682    0.00010056536437247614
0.14292137503632954    0.00019195904221639033
0.16933135023441276    0.0003661240190926292
0.19900319276068815    0.0005637969174919219
0.23000413946534368    0.0007876472161545672
0.2650910653003706    0.0010508574677232678
0.3014015263064823    0.001328106182536864
0.33806213626313336    0.0016089569184895057
0.37661335757200437    0.001894013418975951
0.4167263981652035    0.0021747619587810423
0.45799336026301246    0.0024546379007108956
0.49996305793081103    0.002714821431132006
0.5457710219072428    0.0029815769599648165
0.5998075168559911    0.003268622354707434
0.6591890222914291    0.003559252475856434
0.7244699593755203    0.003836738600182033
0.7962044870948423    0.004120796722919333
0.8750883091523366    0.004380359215213021
0.9683030863000363    0.004656701528810267
1.0787488120745772    0.004931302577278099
1.209992602681932    0.005200129543409334
1.3757059129601055    0.005485324401757078
1.5854954350039336    0.005769863775443751
1.8398584263655136    0.0060202757819106225
2.135113508071987    0.006252438272126822
2.4746648568529257    0.006433050595680143
2.870493480142165    0.0066053175879501455
3.390372558858275    0.006758881337576925
3.9219087151955563    0.006873085719636889
4.532169930919874    0.006959014336828468
5.309200953364774    0.0070253789427992515
6.229205578291086    0.007064693538720473
7.288245399164436    0.007100353480614937
8.511083432218081    0.007121322782450766
10.866458674609696    0.00714556685314656
12.616627479253848    0.007145048011166689
14.648681204871076    0.0071445291691868175
17.0080206770624    0.0071440103272069466
19.747359049304126    0.007143491485227076
22.927899537895353    0.007142972643247205
26.620702844735412    0.007142453801267334
30.908274819349415    0.007141934959287463
35.88640983223913    0.007141416117307592
41.66633104482462    0.00714089727532772
45.5102074744452    0.007140590686885069
