#    x    delta_rho/rho
0.11285558114184295     0.00016020332729866152
0.1376325632387264     0.00023190387041913466
0.1699541591695783     0.0003454541913539607
0.21332788077511416     0.0005218342659644506
0.26244134695429255     0.0007421661729207808
0.3176065138868674     0.0010055335198595567
0.37337578507829877     0.001279483016708988
0.43739677444578345     0.0015889699912222943
0.507017607358013     0.0019067822267155709
0.5805302902536489     0.0022126418147904317
0.6525417374065811     0.002491377825323677
0.747154021323311     0.002813090183077839
0.8502353753700873     0.0031164610567729397
0.967538382849575     0.0034179295981065245
1.1185880560464447     0.0037344940672121383
1.310387087758495     0.00405476092510737
1.5280037636662032     0.004342961720978714
1.8730523825183927     0.0046759553982883475
2.2413357196888635     0.004922246982664033
2.7658457560672773     0.005159718290542023
3.36789009703277     0.005344619541364932
4.160297846081943     0.0054920497311827954
5.061978270065687     0.005593729907285495
6.244964212143958     0.0056683001426377005
7.750783786647914     0.005716930985297344
9.548912572181486     0.005741945633091946
11.54593823090721     0.005744277524373804
14.600841288065936     0.005765285001097213
18.222127385680114     0.005763566765415843
23.165341648645768     0.005761705343427693
28.91078658593785     0.005759987107746324
35.421151281776766     0.0057584120583717355
43.09813977812293     0.00575689070386219
48.931130915025314     0.005755906298003072
