#x	Curve1
0.219288	0.067166
0.408236	0.0991885
0.742699	0.164981
1.26103	0.281523
2.04477	0.431898
2.95518	0.582584
4.90343	0.817166
8.51938	1.1696
13.4999	1.57285
25.7173	2.16099
43.6654	2.63146
60.2676	2.83283
87.1009	2.93296
