#x	Curve1
0.529477	0.015226
0.866332	0.0683398
1.47916	0.194352
2.16213	0.351215
2.98576	0.549551
4.21694	0.810339
5.50142	1.05015
6.89794	1.27947
8.65733	1.52959
11.3271	1.83181
13.65	2.05064
17.4622	2.2904
21.0024	2.46762
29.6342	2.70761
40.0318	2.85389
55.0146	2.94821
91.7524	2.99097
152.875	3.01292
927.68	3.017
