#    x=a*1 Mev    rhos
0.022683610275879836    1.0988377620957195
0.025252824649970286    1.0865617239458465
0.02811303602232304    1.074285685795974
0.03129720359394977    1.05664784614485
0.03484201962475209    1.034669500516523
0.03841182526980704    1.0109612918514506
0.04360487595321332    0.9763663865028975
0.048496369177424115    0.9430245736145434
0.05404190221541207    0.9043240683349286
0.06016285167126944    0.8612176715528623
0.06697707839356762    0.8150473881986525
0.07420034149597678    0.7682374054639628
0.08180267915579403    0.7220515765598022
0.09018392883580738    0.6754444632519719
0.0994238954542347    0.628416065540472
0.10961056049456264    0.5826515210399812
0.12143170791162883    0.5379479603236399
0.13518543078213033    0.49330962025550207
0.15049694194410684    0.45365009586709726
0.16754268121562843    0.4178204296938717
0.18651907252272837    0.3858206217358253
0.20764478735997227    0.359948586922066
0.23116326461742479    0.3390553677880399
0.25734551581084625    0.31777916283249574
0.286493248040755    0.2961199720554335
0.3189423406672866    0.27254585217078175
0.3550667157637752    0.24552485989246886
0.3952826469496233    0.2165889385065658
0.4400535562546284    0.1834401730839661
0.48989535429068487    0.1487594643752943
0.5453823852675004    0.11331278402358658
0.6071540453587932    0.08016401860098665
0.6759221506846762    0.051994068858119746
0.7524791398140371    0.030717863902575582
0.8135490903858088    0.019007966417278865
