#    x=a*1 Mev    ns
0.02229147612595012    0.32804602284742634
0.023641581654848354    0.32395643603454305
0.025074029758750657    0.3195311853990531
0.026592360060846466    0.31560943049747314
0.02820327466558508    0.3113520117732866
0.02976723752667672    0.3066060225884831
0.0314205078977528    0.3006516436422958
0.03332485293164124    0.29597464513985094
0.03669176148404268    0.284238797467535
0.03859341642304637    0.2788633103305411
0.041986835660834665    0.26904102955837234
0.045419189507324376    0.2610148245012106
0.04906603791691129    0.24887611831117212
0.05062223470991565    0.24393684374069427
0.05441210588581217    0.23414592639106477
0.059853895514153196    0.21899305816297027
0.06444471872283275    0.20802793674016343
0.06605019070754516    0.2047645040589355
0.06973265324470904    0.19584789187824495
0.07147169483592497    0.1922068373965846
0.07657442006217592    0.18216293356810861
0.07886710834634728    0.17864961093776305
0.08408530334800586    0.1688555970584047
0.09232973963737634    0.15605175628261073
0.10187643078108213    0.143501521291609
0.1124040734468767    0.1317568794748632
0.1246182508803107    0.12092038789699244
0.12897688357645973    0.11740892318448415
0.14020262346079168    0.10938457604515972
0.15771973513524312    0.09935925139505686
0.17740926734732484    0.09067658203538032
0.18359965000984385    0.08833994070199519
0.203490259428517    0.08183351243574977
0.2105786803998266    0.08033603065888117
0.23111615615312509    0.07449721420217437
0.24034712102988018    0.0723302626979298
0.2650623746772197    0.06733246371557683
0.27564603418453265    0.06533334412263558
0.30399112782477206    0.06033554514028261
0.3161291711591357    0.058336425547341364
0.3486372062753537    0.05333862656498839
0.3625579201725732    0.051339506972047144
0.39984029293626844    0.04634170798969417
0.41580549178010634    0.044342588396752924
0.4585633919091639    0.03934478941439995
0.47687334181584246    0.037345669821458705
0.5259109402282139    0.03234787083910573
0.5469287241426528    0.029845255512254587
0.6031702222154381    0.024847456529901557
0.6272327026433894    0.023351832670870265
0.6917319788373835    0.01835403368851729
0.719327484366529    0.016858409829486
0.801045165638077    0.012367822416717467
0.833001540323275    0.010872198557686175
0.9185660174528014    0.007384886777062893
0.950465940853101    0.00739789220192405
