#    x=a*1 Mev    ns
0.0219351433302113    0.32643716054083244
0.02444703880249478    0.31882191192139564
0.02724637055566166    0.3113889549040615
0.03024923347651384    0.3023214780905381
0.03322475374468395    0.2938626451522136
0.037543642966173456    0.2829358787052368
0.040696701753641075    0.27377578217157444
0.04974930149752065    0.24945487484172585
0.05491678943703657    0.23645829680854513
0.06107206695665664    0.22246191032758672
0.06758205525583659    0.209265743320022
0.07423357535492071    0.1970944498555241
0.08234653626318499    0.18447571182753802
0.09164536268020235    0.17198354165990276
0.10272967152755853    0.15999540664264142
0.11518985717655501    0.1485086977695529
0.13030497166033114    0.13769374587405164
0.14710481298788483    0.128348534138502
0.16820447187394436    0.11917526833544362
0.18825793822862613    0.11260069694706881
0.2130636614788268    0.10582982890165893
0.240260322548847    0.10006019804551797
0.2725352817977702    0.09389176195578058
0.30732323971246595    0.08812213109963957
0.34723869287837883    0.08200233433979415
0.3936917756458057    0.07578358170189275
0.44156713972297246    0.06920981786305636
0.4959992466373564    0.062436092334664406
0.5635925723617037    0.05453043083016784
0.6459002834735442    0.04569223596636468
0.7402367782293617    0.03658668008614435
0.8497311062468955    0.027782526541345998
0.9712352817766333    0.01997936170903536
1.1049712925926756    0.013511262621343445
1.351969873210075    0.006569442550566462
1.5064420171837867    0.004354582643420646
