#    x=me*R    fnu_e/feq
0.06564933647532643    1.0003707580447772
0.08028813261827417    1.000633406762172
0.09635078425954323    1.000961560242843
0.11634323282347936    1.0013943314616178
0.13947247822074135    1.0020704088978474
0.16833878178749193    1.0030123965157296
0.19753737091385085    1.004228061814604
0.23500152630619017    1.0056852371011034
0.287489593926866    1.0083456058263878
0.33394452029057536    1.0103169128857301
0.3848599454700349    1.0125008483534932
0.44005535158815656    1.0147667442907458
0.4952954069408299    1.0168649544785007
0.5530921502298815    1.018870752180456
0.6225216910446058    1.0210192622591596
0.7006667074554667    1.0231867745188883
0.7886212512734881    1.0252972802355418
0.8946419722740696    1.0274716951664569
1.0149159146573254    1.0295287436851586
1.1604719714634957    1.0315155683755919
1.3479905499453286    1.033613109531626
1.5906939849330195    1.0356290996307078
1.8919525042986365    1.0375112746454491
2.250265803747668    1.0390946987927372
2.6764393799585875    1.0404732652023432
3.1583277960744276    1.0415213024908765
3.78620908205548    1.0424470068580112
4.574838664136562    1.0430880980839006
5.54519078291755    1.0434507180990933
6.533283800680631    1.043670749494016
7.7736736577089935    1.0437689648440613
9.227710175613025    1.0437732282586178
11.062195671046956    1.0437777366969994
13.303265124561403    1.0437823235430048
15.786750290698023    1.0437970119045723
18.998267024321486    1.0437911836045197
22.84709027460559    1.0437957704505252
27.693102141589787    1.0438005533155907
