#    x=me*R    fnu_mu/feq
0.05476246020499827    1.0000199740450262
0.06937403228024368    1.0002534930397142
0.08338455108263629    1.0005160284053811
0.10235389737395299    1.0008587718944713
0.1273003230942735    1.001534608781164
0.15422044872258187    1.0023410413694338
0.19144846730343137    1.003922869510045
0.22476231575012134    1.0051249826026443
0.31851619867627406    1.0090453633146743
0.3758645053992617    1.011087141809271
0.44005535158815634    1.013213142889385
0.5152088310538201    1.0154341246644796
0.5984604993372521    1.0175639505297125
0.6951646549505266    1.0196283452495143
0.8138861803962036    1.0217258521211339
0.9604250205083851    1.0237797190678193
1.1423180950913205    1.025688057707682
1.3586595543734803    1.0273978003489486
1.6159735126517214    1.0289003123829845
1.9220196738660735    1.0301524207666168
2.286027337580764    1.0312232023689225
2.7189737229145234    1.03214719562444
3.2339150037126276    1.0328639582727264
3.8463800378428368    1.0334339325742248
4.574838664136562    1.0338139454857618
5.4412586892002714    1.0340558046591448
6.471768360903591    1.0341940485289127
7.697444306465896    1.0343063885727768
9.155248696643973    1.0343755555734677
10.889143897669138    1.0343842803137167
12.951418225002488    1.0343843704453306
15.40426277908145    1.034401729794214
18.321646915000194    1.0344104545344628
21.791548903838734    1.0344191792747115
25.9186090547139    1.0344279040149602
29.17216657578378    1.0344338527014936
0.2691922983560385    1.0069572226565964
