xx=1.126146e+01, dx=1.000000e-02, T=1.282134e+00; time needed till here: 3.128000e+03 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau	Coll_nu_tau	Cforw_nu_tau	Cback_nu_tau
0.000000e+00	     inf	1.111477e-02	5.000000e-01	1.482699e-24	-4.508001e-23	4.656271e-23	5.000000e-01	1.799130e-24	-4.504335e-23	4.684248e-23	1.888255e-01	-2.152459e-05	-3.830086e-05	1.677626e-05
2.020202e-01	5.859688e+00	1.108442e-02	4.543297e-01	8.348235e-09	-5.518776e-07	5.602258e-07	4.554259e-01	1.115171e-08	-5.432293e-07	5.543810e-07	1.864708e-01	-2.102768e-05	-6.056617e-05	3.953849e-05
4.040404e-01	2.699499e+00	1.099398e-02	4.072471e-01	5.030130e-09	-1.059838e-06	1.064868e-06	4.089075e-01	1.058825e-08	-1.027228e-06	1.037816e-06	1.798056e-01	-1.987620e-05	-5.848308e-05	3.860688e-05
6.060606e-01	1.654766e+00	1.084522e-02	3.612737e-01	9.859838e-09	-1.515670e-06	1.525530e-06	3.632444e-01	1.936853e-08	-1.453886e-06	1.473255e-06	1.697645e-01	-1.820652e-05	-5.523632e-05	3.702980e-05
8.080808e-01	1.138818e+00	1.064104e-02	3.173882e-01	1.745916e-08	-1.925840e-06	1.943299e-06	3.194857e-01	3.174760e-08	-1.835650e-06	1.867398e-06	1.574166e-01	-1.618949e-05	-5.146069e-05	3.527119e-05
1.010101e+00	8.342956e-01	1.038532e-02	2.763015e-01	1.272084e-08	-2.234995e-06	2.247716e-06	2.783961e-01	3.170376e-08	-2.116520e-06	2.148224e-06	1.437255e-01	-1.402161e-05	-4.683418e-05	3.281257e-05
1.212121e+00	6.353941e-01	1.008281e-02	2.385179e-01	3.488392e-08	-2.464921e-06	2.499804e-06	2.405134e-01	5.797801e-08	-2.322590e-06	2.380568e-06	1.294883e-01	-1.188897e-05	-4.203726e-05	3.014829e-05
1.414141e+00	4.967539e-01	9.738922e-03	2.043281e-01	5.939542e-08	-2.599899e-06	2.659294e-06	2.061678e-01	8.547519e-08	-2.439016e-06	2.524492e-06	1.153524e-01	-9.820176e-06	-3.768870e-05	2.786852e-05
1.616162e+00	3.956835e-01	9.359577e-03	1.738404e-01	6.913647e-08	-2.674332e-06	2.743469e-06	1.754846e-01	9.681957e-08	-2.501873e-06	2.598693e-06	1.017355e-01	-7.997899e-06	-3.353831e-05	2.554041e-05
1.818182e+00	3.195676e-01	8.950988e-03	1.470079e-01	9.587771e-08	-2.646501e-06	2.742378e-06	1.484490e-01	1.240816e-07	-2.470278e-06	2.594360e-06	8.893266e-02	-6.406513e-06	-2.881124e-05	2.240472e-05
2.020202e+00	2.608302e-01	8.519483e-03	1.236575e-01	1.096041e-07	-2.586528e-06	2.696132e-06	1.248933e-01	1.371355e-07	-2.411212e-06	2.548348e-06	7.714830e-02	-4.915172e-06	-2.520631e-05	2.029113e-05
2.222222e+00	2.146450e-01	8.071328e-03	1.035382e-01	1.157989e-07	-2.484449e-06	2.600248e-06	1.045777e-01	1.416898e-07	-2.313293e-06	2.454983e-06	6.650630e-02	-3.801960e-06	-2.200273e-05	1.820077e-05
2.424242e+00	1.777910e-01	7.612570e-03	8.635548e-02	1.269787e-07	-2.331797e-06	2.458776e-06	8.722002e-02	1.504420e-07	-2.167099e-06	2.317541e-06	5.699144e-02	-2.914257e-06	-1.913607e-05	1.622181e-05
2.626263e+00	1.480359e-01	7.148906e-03	7.178581e-02	1.257762e-07	-2.167187e-06	2.292963e-06	7.249420e-02	1.461187e-07	-2.010822e-06	2.156941e-06	4.858170e-02	-2.034568e-06	-1.661868e-05	1.458412e-05
2.828283e+00	1.237840e-01	6.685579e-03	5.950576e-02	1.188699e-07	-1.999514e-06	2.118384e-06	6.007698e-02	1.356140e-07	-1.853481e-06	1.989095e-06	4.122072e-02	-1.322108e-06	-1.433133e-05	1.300922e-05
3.030303e+00	1.038646e-01	6.227297e-03	4.921099e-02	1.162761e-07	-1.826608e-06	1.942884e-06	4.966608e-02	1.291514e-07	-1.691632e-06	1.820783e-06	3.483674e-02	-9.570194e-07	-1.210174e-05	1.114472e-05
3.232323e+00	8.739998e-02	5.778191e-03	4.061894e-02	1.027901e-07	-1.644216e-06	1.747006e-06	4.097843e-02	1.116378e-07	-1.521216e-06	1.632854e-06	2.934826e-02	-6.943572e-07	-1.015040e-05	9.456043e-06
3.434343e+00	7.371961e-02	5.341785e-03	3.347406e-02	9.320866e-08	-1.469603e-06	1.562811e-06	3.375426e-02	9.799106e-08	-1.358357e-06	1.456348e-06	2.465410e-02	-9.678387e-09	-9.289541e-06	9.279863e-06
3.636364e+00	6.230326e-02	4.920993e-03	2.754919e-02	8.202908e-08	-1.309411e-06	1.391440e-06	2.776405e-02	8.299929e-08	-1.209347e-06	1.292347e-06	2.064790e-02	2.100595e-08	-8.228409e-06	8.249415e-06
3.838384e+00	5.274171e-02	4.518141e-03	2.264814e-02	6.823821e-08	-1.161206e-06	1.229444e-06	2.281039e-02	6.568976e-08	-1.071555e-06	1.137245e-06	1.724944e-02	-4.593056e-09	-6.789940e-06	6.785347e-06
4.040404e+00	4.470931e-02	4.134993e-03	1.860373e-02	5.806578e-08	-1.026190e-06	1.084256e-06	1.872442e-02	5.207183e-08	-9.461396e-07	9.982114e-07	1.438336e-02	2.575829e-07	-5.705344e-06	5.962927e-06
4.242424e+00	3.794431e-02	3.772798e-03	1.527101e-02	4.796091e-08	-9.011045e-07	9.490654e-07	1.535913e-02	3.890312e-08	-8.299259e-07	8.688290e-07	1.197114e-02	3.965282e-07	-4.893895e-06	5.290423e-06
4.444444e+00	3.223451e-02	3.432337e-03	1.252832e-02	3.889235e-08	-7.838400e-07	8.227323e-07	1.259097e-02	2.726074e-08	-7.207281e-07	7.479889e-07	9.946150e-03	3.544984e-07	-4.182909e-06	4.537408e-06
4.646465e+00	2.740660e-02	3.113977e-03	1.027380e-02	3.007972e-08	-6.823244e-07	7.124041e-07	1.031667e-02	1.632063e-08	-6.265376e-07	6.428582e-07	8.253638e-03	4.193732e-07	-3.626423e-06	4.045796e-06
4.848485e+00	2.331813e-02	2.817732e-03	8.421927e-03	2.458511e-08	-5.916115e-07	6.161966e-07	8.449737e-03	9.146214e-09	-5.424495e-07	5.515957e-07	6.839272e-03	3.165722e-07	-3.194042e-06	3.510614e-06
5.050505e+00	1.985135e-02	2.543312e-03	6.902196e-03	1.781074e-08	-5.130404e-07	5.308511e-07	6.918801e-03	1.076545e-09	-4.698704e-07	4.709469e-07	5.660942e-03	2.437287e-07	-2.652307e-06	2.896036e-06
5.252525e+00	1.690850e-02	2.290184e-03	5.655891e-03	1.409604e-08	-4.431028e-07	4.571988e-07	5.664238e-03	-3.597345e-09	-4.053704e-07	4.017731e-07	4.682295e-03	3.328502e-07	-2.243496e-06	2.576347e-06
5.454545e+00	1.440808e-02	2.057614e-03	4.634294e-03	1.049574e-08	-3.825142e-07	3.930099e-07	4.636648e-03	-7.783609e-09	-3.495918e-07	3.418082e-07	3.868151e-03	2.712035e-07	-1.857970e-06	2.129173e-06
5.656566e+00	1.228188e-02	1.844719e-03	3.796909e-03	7.481162e-09	-3.294458e-07	3.369270e-07	3.794998e-03	-1.106498e-08	-3.007479e-07	2.896829e-07	3.192810e-03	2.169073e-07	-1.529659e-06	1.746566e-06
5.858586e+00	1.047269e-02	1.650505e-03	3.110758e-03	6.008215e-09	-2.820786e-07	2.880869e-07	3.105977e-03	-1.254182e-08	-2.571021e-07	2.445602e-07	2.634023e-03	2.380396e-07	-1.318322e-06	1.556361e-06
6.060606e+00	8.932352e-03	1.473903e-03	2.548620e-03	4.099869e-09	-2.413917e-07	2.454916e-07	2.542012e-03	-1.413436e-08	-2.196635e-07	2.055291e-07	2.172191e-03	2.597674e-07	-1.143489e-06	1.403257e-06
6.262626e+00	7.620277e-03	1.313801e-03	2.087993e-03	3.342429e-09	-2.059512e-07	2.092936e-07	2.080313e-03	-1.442018e-08	-1.870715e-07	1.726513e-07	1.789420e-03	2.018987e-07	-1.024058e-06	1.225957e-06
6.464646e+00	6.502176e-03	1.169066e-03	1.710684e-03	2.663166e-09	-1.759088e-07	1.785720e-07	1.702501e-03	-1.452078e-08	-1.595340e-07	1.450132e-07	1.473345e-03	1.371786e-07	-8.338173e-07	9.709959e-07
6.666667e+00	5.549034e-03	1.038571e-03	1.401781e-03	2.327315e-09	-1.500614e-07	1.523887e-07	1.393509e-03	-1.417778e-08	-1.358693e-07	1.216915e-07	1.212948e-03	1.014311e-07	-6.766183e-07	7.780494e-07
6.868687e+00	4.736269e-03	9.212064e-04	1.148842e-03	2.218657e-09	-1.278402e-07	1.300588e-07	1.140756e-03	-1.346964e-08	-1.155544e-07	1.020848e-07	9.988977e-04	1.410341e-07	-5.658961e-07	7.069302e-07
7.070707e+00	4.043028e-03	8.158986e-04	9.416785e-04	2.043045e-09	-1.089950e-07	1.110381e-07	9.339467e-04	-1.274013e-08	-9.836352e-08	8.562339e-08	8.217305e-04	1.194057e-07	-4.711696e-07	5.905753e-07
7.272727e+00	3.451604e-03	7.216162e-04	7.720127e-04	2.196179e-09	-9.274154e-08	9.493772e-08	7.647488e-04	-1.173040e-08	-8.355638e-08	7.182598e-08	6.758123e-04	9.409163e-08	-3.885832e-07	4.826748e-07
7.474747e+00	2.946949e-03	6.373793e-04	6.330470e-04	2.230484e-09	-7.893110e-08	8.116158e-08	6.263221e-04	-1.081607e-08	-7.099946e-08	6.018339e-08	5.557957e-04	9.358453e-08	-3.376378e-07	4.312224e-07
7.676768e+00	2.516264e-03	5.622638e-04	5.191756e-04	2.351831e-09	-6.707977e-08	6.943160e-08	5.130235e-04	-9.796948e-09	-6.023573e-08	5.043878e-08	4.568221e-04	7.454876e-08	-2.972104e-07	3.717591e-07
7.878788e+00	2.148657e-03	4.954049e-04	4.258640e-04	2.430402e-09	-5.691997e-08	5.935038e-08	4.202902e-04	-8.789023e-09	-5.102496e-08	4.223594e-08	3.755785e-04	6.768877e-08	-2.500675e-07	3.177562e-07
8.080808e+00	1.834852e-03	4.359976e-04	3.493583e-04	2.488208e-09	-4.818704e-08	5.067525e-08	3.443483e-04	-7.846180e-09	-4.311760e-08	3.527142e-08	3.085965e-04	5.849700e-08	-2.044942e-07	2.629912e-07
8.282828e+00	1.566950e-03	3.832975e-04	2.866668e-04	2.627054e-09	-4.072812e-08	4.335517e-08	2.821949e-04	-6.928432e-09	-3.637283e-08	2.944440e-08	2.535405e-04	4.872657e-08	-1.664416e-07	2.151682e-07
8.484848e+00	1.338216e-03	3.366192e-04	2.353010e-04	2.643215e-09	-3.446757e-08	3.711078e-08	2.313335e-04	-6.132539e-09	-3.072768e-08	2.459514e-08	2.084182e-04	4.839326e-08	-1.368434e-07	1.852367e-07
8.686869e+00	1.142909e-03	2.953348e-04	1.932126e-04	2.701893e-09	-2.911405e-08	3.181594e-08	1.897110e-04	-5.343136e-09	-2.590305e-08	2.055991e-08	1.713219e-04	4.727179e-08	-1.144114e-07	1.616832e-07
8.888889e+00	9.761335e-04	2.588710e-04	1.587084e-04	2.665591e-09	-2.462105e-08	2.728664e-08	1.556314e-04	-4.665911e-09	-2.186563e-08	1.719971e-08	1.407797e-04	5.152230e-08	-9.654512e-08	1.480674e-07
9.090909e+00	8.337149e-04	2.267069e-04	1.304113e-04	2.618885e-09	-2.081667e-08	2.343556e-08	1.277163e-04	-4.053778e-09	-1.845288e-08	1.439910e-08	1.156296e-04	4.364654e-08	-8.312607e-08	1.267726e-07
9.292929e+00	7.120900e-04	1.983703e-04	1.072108e-04	2.555695e-09	-1.759007e-08	2.014576e-08	1.048588e-04	-3.501022e-09	-1.556383e-08	1.206281e-08	9.496224e-05	4.014882e-08	-7.279116e-08	1.129400e-07
