xx=7.021411e+00, dx=1.000000e-02, T=1.216916e+00; time needed till here: 4.092000e+03 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau	Coll_nu_tau	Cforw_nu_tau	Cback_nu_tau
0.000000e+00	     inf	4.981279e-02	5.000000e-01	-5.304764e-24	-4.030170e-22	3.977123e-22	5.000000e-01	-7.243516e-24	-4.027662e-22	3.955227e-22	1.997587e-03	-1.486584e-06	-4.374834e-06	2.888250e-06
2.020202e-01	5.537564e+00	4.959222e-02	4.503061e-01	-5.757149e-08	-4.811078e-06	4.753506e-06	4.497144e-01	-4.231809e-08	-4.527717e-06	4.485398e-06	1.996096e-03	-1.463921e-06	-5.816064e-06	4.352143e-06
4.040404e-01	2.539486e+00	4.893811e-02	4.031543e-01	-1.881182e-07	-9.504585e-06	9.316467e-06	4.022207e-01	-9.236841e-08	-8.583353e-06	8.490985e-06	1.987315e-03	-1.435351e-06	-5.769134e-06	4.333783e-06
6.060606e-01	1.549244e+00	4.787267e-02	3.579746e-01	-3.476057e-07	-1.356553e-05	1.321792e-05	3.569608e-01	-1.436235e-07	-1.193051e-05	1.178689e-05	1.972027e-03	-1.394268e-06	-5.685419e-06	4.291151e-06
8.080808e-01	1.060868e+00	4.643119e-02	3.152690e-01	-4.885528e-07	-1.704784e-05	1.655929e-05	3.142740e-01	-1.762514e-07	-1.466656e-05	1.449031e-05	1.950487e-03	-1.363810e-06	-5.613902e-06	4.250092e-06
1.010101e+00	7.731366e-01	4.465953e-02	2.755056e-01	-6.038126e-07	-1.956381e-05	1.895999e-05	2.745722e-01	-2.051028e-07	-1.653805e-05	1.633295e-05	1.923001e-03	-1.328987e-06	-5.514797e-06	4.185810e-06
1.212121e+00	5.856202e-01	4.261119e-02	2.390340e-01	-6.718405e-07	-2.125586e-05	2.058402e-05	2.381840e-01	-2.211399e-07	-1.776498e-05	1.754384e-05	1.889931e-03	-1.292832e-06	-5.403519e-06	4.110686e-06
1.414141e+00	4.552612e-01	4.034404e-02	2.060268e-01	-6.783024e-07	-2.214481e-05	2.146651e-05	2.052661e-01	-2.184238e-07	-1.831472e-05	1.809630e-05	1.851682e-03	-1.255512e-06	-5.291655e-06	4.036143e-06
1.616162e+00	3.605178e-01	3.791723e-02	1.765293e-01	-6.163491e-07	-2.254645e-05	2.193010e-05	1.758599e-01	-1.929044e-07	-1.848660e-05	1.829370e-05	1.808713e-03	-1.210811e-06	-5.161851e-06	3.951040e-06
1.818182e+00	2.894124e-01	3.538836e-02	1.504567e-01	-5.303908e-07	-2.217592e-05	2.164553e-05	1.498711e-01	-1.814510e-07	-1.801242e-05	1.783096e-05	1.761423e-03	-1.157937e-06	-4.988521e-06	3.830584e-06
2.020202e+00	2.347510e-01	3.281117e-02	1.276395e-01	-4.066729e-07	-2.149720e-05	2.109053e-05	1.271319e-01	-1.605573e-07	-1.735787e-05	1.719731e-05	1.710325e-03	-1.095970e-06	-4.812495e-06	3.716525e-06
2.222222e+00	1.919504e-01	3.023388e-02	1.078415e-01	-2.522635e-07	-2.054603e-05	2.029376e-05	1.074043e-01	-1.222798e-07	-1.650767e-05	1.638539e-05	1.655954e-03	-1.037402e-06	-4.638244e-06	3.600842e-06
2.424242e+00	1.579516e-01	2.769807e-02	9.079523e-02	-9.581400e-08	-1.920760e-05	1.911179e-05	9.041846e-02	-8.864281e-08	-1.532405e-05	1.523540e-05	1.598787e-03	-9.820423e-07	-4.464987e-06	3.482945e-06
2.626263e+00	1.306348e-01	2.523820e-02	7.621295e-02	4.368103e-08	-1.783081e-05	1.787449e-05	7.588897e-02	-6.842547e-08	-1.413284e-05	1.406441e-05	1.539357e-03	-9.248107e-07	-4.283531e-06	3.358720e-06
2.828283e+00	1.084849e-01	2.288151e-02	6.380628e-02	1.775529e-07	-1.644385e-05	1.662140e-05	6.352852e-02	-4.161528e-08	-1.296833e-05	1.292671e-05	1.478108e-03	-8.672145e-07	-4.098500e-06	3.231285e-06
