#x	Curve1
0.38085	0.0010496
0.623606	0.00355466
0.814594	0.00668364
1.00581	0.0108543
1.14489	0.0139822
1.26672	0.0173181
1.38868	0.0212789
1.5279	0.0250318
1.64973	0.0283677
1.78895	0.0321206
1.98012	0.0360829
2.20612	0.0410876
2.41445	0.0444253
2.63986	0.0467217
2.93425	0.0479778
3.26284	0.0473596
3.59115	0.0454915
3.90194	0.0425813
4.17804	0.0392537
4.52316	0.0350942
4.85103	0.0311427
5.17898	0.0276079
5.5587	0.0234491
5.99038	0.0194998
6.30117	0.0165896
6.71581	0.0138899
7.18235	0.0111913
7.64899	0.00890935
8.09845	0.00725205
8.44425	0.00621759
8.87651	0.00497659
9.27425	0.00415155
9.60289	0.00374173
9.94877	0.00312393
