xx=1.106146e+01, dx=1.000000e-02, T=1.295634e+00; time needed till here: 3.566000e+03 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau	Coll_nu_tau	Cforw_nu_tau	Cback_nu_tau
0.000000e+00	     inf	1.258412e-02	5.000000e-01	2.364704e-25	-4.987258e-23	5.010905e-23	5.000000e-01	8.458661e-25	-5.007311e-23	5.091898e-23	4.302486e-02	-6.294969e-06	-1.479954e-05	8.504575e-06
2.020202e-01	5.926378e+00	1.254956e-02	4.555916e-01	-2.251274e-09	-5.813810e-07	5.791297e-07	4.580113e-01	-1.033496e-09	-5.753851e-07	5.743516e-07	4.278604e-02	-6.246114e-06	-2.317968e-05	1.693357e-05
4.040404e-01	2.732640e+00	1.244656e-02	4.082346e-01	-1.207930e-08	-1.115414e-06	1.103334e-06	4.112847e-01	-9.514127e-09	-1.085793e-06	1.076278e-06	4.208185e-02	-6.039277e-06	-2.272263e-05	1.668335e-05
6.060606e-01	1.676636e+00	1.227716e-02	3.622951e-01	-2.491529e-08	-1.580574e-06	1.555659e-06	3.655872e-01	-1.904053e-08	-1.519247e-06	1.500207e-06	4.094611e-02	-5.747742e-06	-2.199136e-05	1.624362e-05
8.080808e-01	1.154988e+00	1.204471e-02	3.186422e-01	-3.119381e-08	-1.987157e-06	1.955964e-06	3.219553e-01	-2.064645e-08	-1.894725e-06	1.874079e-06	3.942968e-02	-5.400882e-06	-2.114049e-05	1.573961e-05
1.010101e+00	8.469975e-01	1.175365e-02	2.778758e-01	-4.423851e-08	-2.286978e-06	2.242739e-06	2.810726e-01	-2.868492e-08	-2.163995e-06	2.135310e-06	3.759713e-02	-5.014021e-06	-2.002614e-05	1.501212e-05
1.212121e+00	6.457462e-01	1.140945e-02	2.404215e-01	-5.228996e-08	-2.500653e-06	2.448363e-06	2.433994e-01	-3.221188e-08	-2.350925e-06	2.318713e-06	3.551995e-02	-4.580376e-06	-1.877553e-05	1.419515e-05
1.414141e+00	5.053979e-01	1.101832e-02	2.065041e-01	-4.580206e-08	-2.621204e-06	2.575401e-06	2.092079e-01	-2.212185e-08	-2.450166e-06	2.428044e-06	3.326843e-02	-4.124059e-06	-1.755878e-05	1.343472e-05
1.616162e+00	4.030233e-01	1.058703e-02	1.762188e-01	-4.234904e-08	-2.683384e-06	2.641035e-06	1.786137e-01	-1.635344e-08	-2.498053e-06	2.481699e-06	3.090974e-02	-3.662579e-06	-1.630804e-05	1.264546e-05
1.818182e+00	3.258750e-01	1.012271e-02	1.494874e-01	-4.204133e-08	-2.647024e-06	2.604983e-06	1.515763e-01	-1.505340e-08	-2.455570e-06	2.440516e-06	2.850656e-02	-3.213081e-06	-1.479434e-05	1.158126e-05
