#x	Curve1
0.149789	0.00265307
0.22313	0.008493
0.326906	0.0187465
0.44817	0.0304776
0.604296	0.0444164
0.930572	0.0605469
1.3862	0.0707986
2.47874	0.0766191
5.23299	0.0787454
97.2704	0.0791696
